Time,a_x,s_x,s_x_int,omega,T_corrected,T_request
0,-0.0047851,0,0,9.9206,0,14.722
0.001,-0.0056589,-0.00092408,-0.00013889,9.9173,0,14.722
0.002,-0.008131,-0.0017393,-0.00027866,9.9144,0,14.722
0.003,-0.011966,-0.0024311,-0.0004192,9.9119,0,14.722
0.004,-0.01692,-0.0029881,-0.00056039,9.9098,0,14.722
0.005,-0.022741,-0.0034019,-0.00070212,9.9083,0,14.722
0.006,-0.029177,-0.0036673,-0.00084424,9.9072,0,14.722
0.007,-0.035983,-0.003782,-0.00098661,9.9067,0,14.722
0.008,-0.042918,-0.0037466,-0.0011291,9.9067,0,14.722
0.009,-0.049757,-0.0035646,-0.0012715,9.9072,0,14.722
0.01,-0.056286,-0.0032418,-0.0014138,9.9082,0,14.722
0.011,-0.062312,-0.0027865,-0.0015557,9.9096,0,14.722
0.012,-0.06766,-0.0022087,-0.0016973,9.9114,0,14.722
0.013,-0.07218,-0.0015204,-0.0018382,9.9136,0,14.722
0.014,-0.075742,-0.00073484,-0.0019785,9.9161,0,14.722
0.015,-0.078242,0.00013353,-0.0021181,9.919,0,14.722
0.016,-0.079602,0.0010696,-0.0022568,9.922,0,14.722
0.017,-0.079768,0.0020577,-0.0023947,9.9253,0,14.722
0.018,-0.078709,0.0030821,-0.0025316,9.9287,0,14.722
0.019,-0.076419,0.0041273,-0.0026675,9.9321,0,14.722
0.02,-0.072916,0.0051781,-0.0028024,9.9356,0,14.722
0.021,-0.068236,0.00622,-0.0029363,9.9391,0,14.722
0.022,-0.062434,0.0072394,-0.0030693,9.9425,0,14.722
0.023,-0.055584,0.008224,-0.0032012,9.9458,0,14.722
0.024,-0.047772,0.0091626,-0.0033322,9.9489,0,14.722
0.025,-0.039097,0.010045,-0.0034624,9.9519,0,14.722
0.026,-0.029668,0.010864,-0.0035916,9.9547,0,14.722
0.027,-0.019599,0.011613,-0.0037201,9.9573,0,14.722
0.028,-0.0090092,0.012286,-0.0038479,9.9597,0,14.722
0.029,0.0019797,0.01288,-0.0039751,9.9618,0,14.722
0.03,0.013247,0.013393,-0.0041017,9.9637,0,14.722
0.031,0.024674,0.013826,-0.0042278,9.9653,0,14.722
0.032,0.036139,0.014156,-0.0043534,9.9665,0,14.722
0.033,0.047475,0.014333,-0.0044788,9.9673,0,14.722
0.034,0.058496,0.014359,-0.004604,9.9676,0,14.722
0.035,0.069031,0.01424,-0.0047292,9.9674,0,14.722
0.036,0.078925,0.013985,-0.0048545,9.9668,0,14.722
0.037,0.088045,0.013607,-0.0049801,9.9657,0,14.722
0.038,0.096273,0.013117,-0.005106,9.9643,0,14.722
0.039,0.10352,0.01253,-0.0052324,9.9626,0,14.722
0.04,0.10971,0.011861,-0.0053593,9.9606,0,14.722
0.041,0.11479,0.011127,-0.0054869,9.9583,0,14.722
0.042,0.11874,0.010343,-0.0056152,9.9559,0,14.722
0.043,0.12154,0.0095264,-0.0057442,9.9535,0,14.722
0.044,0.12323,0.0086935,-0.0058741,9.9509,0,14.722
0.045,0.12382,0.0078601,-0.0060047,9.9484,0,14.722
0.046,0.12338,0.0070411,-0.0061361,9.9459,0,14.722
0.047,0.12198,0.0062505,-0.0062683,9.9435,0,14.722
0.048,0.11968,0.0055012,-0.0064013,9.9413,0,14.722
0.049,0.1166,0.0048046,-0.0065349,9.9392,0,14.722
0.05,0.11284,0.0041704,-0.0066693,9.9374,0,14.722
0.051,0.10851,0.003607,-0.0068042,9.9357,0,14.722
0.052,0.10372,0.0031208,-0.0069397,9.9344,0,14.722
0.053,0.098588,0.0027164,-0.0070757,9.9333,0,14.722
0.054,0.09324,0.0023969,-0.007212,9.9325,0,14.722
0.055,0.087786,0.0021636,-0.0073487,9.932,0,14.722
0.056,0.082337,0.0020162,-0.0074856,9.9318,0,14.722
0.057,0.076996,0.0019525,-0.0076226,9.9318,0,14.722
0.058,0.07186,0.0019695,-0.0077597,9.9322,0,14.722
0.059,0.067013,0.0020623,-0.0078968,9.9327,0,14.722
0.06,0.062533,0.0022253,-0.0080338,9.9335,0,14.722
0.061,0.058483,0.0024517,-0.0081706,9.9346,0,14.722
0.062,0.054915,0.002734,-0.0083072,9.9358,0,14.722
0.063,0.051871,0.003064,-0.0084436,9.9371,0,14.722
0.064,0.049379,0.0034331,-0.0085797,9.9386,0,14.722
0.065,0.047455,0.0038326,-0.0087154,9.9402,0,14.722
0.066,0.046104,0.0042535,-0.0088507,9.9419,0,14.722
0.067,0.045318,0.004687,-0.0089856,9.9436,0,14.722
0.068,0.045083,0.0051246,-0.0091202,9.9454,0,14.722
0.069,0.045371,0.005558,-0.0092543,9.9471,0,14.722
0.07,0.046148,0.0059797,-0.009388,9.9487,0,14.722
0.071,0.047373,0.0063825,-0.0095213,9.9503,0,14.722
0.072,0.048998,0.0067602,-0.0096542,9.9519,0,14.722
0.073,0.050969,0.0071072,-0.0097868,9.9533,0,14.722
0.074,0.053232,0.007419,-0.009919,9.9546,0,14.722
0.075,0.055727,0.0076916,-0.010051,9.9557,0,14.722
0.076,0.058395,0.0079223,-0.010183,9.9568,0,14.722
0.077,0.061177,0.0081091,-0.010314,9.9576,0,14.722
0.078,0.064013,0.0082509,-0.010445,9.9584,0,14.722
0.079,0.066849,0.0083477,-0.010577,9.959,0,14.722
0.08,0.069631,0.0084,-0.010708,9.9594,0,14.722
0.081,0.072309,0.0084092,-0.010839,9.9597,0,14.722
0.082,0.07484,0.0083775,-0.01097,9.9598,0,14.722
0.083,0.077183,0.0083076,-0.011101,9.9598,0,14.722
0.084,0.079305,0.0082029,-0.011232,9.9598,0,14.722
0.085,0.081177,0.008067,-0.011363,9.9596,0,14.722
0.086,0.082779,0.0079042,-0.011495,9.9593,0,14.722
0.087,0.084094,0.0077187,-0.011626,9.9589,0,14.722
0.088,0.085113,0.0075153,-0.011758,9.9585,0,14.722
0.089,0.085833,0.0072984,-0.01189,9.958,0,14.722
0.09,0.086256,0.0070729,-0.012022,9.9575,0,14.722
0.091,0.08639,0.0068431,-0.012154,9.957,0,14.722
0.092,0.086248,0.0066136,-0.012287,9.9565,0,14.722
0.093,0.085847,0.0063885,-0.012419,9.956,0,14.722
0.094,0.085209,0.0061717,-0.012552,9.9555,0,14.722
0.095,0.084358,0.0059666,-0.012686,9.9551,0,14.722
0.096,0.083321,0.0057763,-0.012819,9.9547,0,14.722
0.097,0.082129,0.0056036,-0.012953,9.9544,0,14.722
0.098,0.080811,0.0054505,-0.013086,9.9541,0,14.722
0.099,0.0794,0.005319,-0.01322,9.954,0,14.722
0.1,0.077926,0.00521,-0.013354,9.9538,0,14.722
0.101,0.076422,0.0051246,-0.013488,9.9538,0,14.722
0.102,0.074917,0.0050629,-0.013623,9.9539,0,14.722
0.103,0.073439,0.0050247,-0.013757,9.954,0,14.722
0.104,0.072016,0.0050096,-0.013891,9.9542,0,14.722
0.105,0.07067,0.0050165,-0.014026,9.9545,0,14.722
0.106,0.069423,0.0050441,-0.01416,9.9548,0,14.722
0.107,0.068294,0.0050908,-0.014294,9.9552,0,14.722
0.108,0.067298,0.0051548,-0.014429,9.9557,0,14.722
0.109,0.066446,0.0052338,-0.014563,9.9562,0,14.722
0.11,0.065748,0.0053258,-0.014697,9.9568,0,14.722
0.111,0.065207,0.0054282,-0.014831,9.9574,0,14.722
0.112,0.064826,0.0055387,-0.014965,9.958,0,14.722
0.113,0.064604,0.0056548,-0.015099,9.9587,0,14.722
0.114,0.064537,0.0057742,-0.015233,9.9593,0,14.722
0.115,0.064619,0.0058944,-0.015366,9.96,0,14.722
0.116,0.064838,0.0060132,-0.0155,9.9606,0,14.722
0.117,0.065186,0.0061286,-0.015633,9.9613,0,14.722
0.118,0.065648,0.0062386,-0.015767,9.9619,0,14.722
0.119,0.06621,0.0063416,-0.0159,9.9625,0,14.722
0.12,0.066856,0.0064359,-0.016033,9.9631,0,14.722
0.121,0.067571,0.0065205,-0.016166,9.9636,0,14.722
0.122,0.068336,0.0065943,-0.016299,9.9641,0,14.722
0.123,0.069136,0.0066565,-0.016432,9.9646,0,14.722
0.124,0.069953,0.0067066,-0.016565,9.965,0,14.722
0.125,0.070772,0.0067445,-0.016698,9.9654,0,14.722
0.126,0.071576,0.0067699,-0.01683,9.9658,0,14.722
0.127,0.072353,0.0067833,-0.016963,9.9661,0,14.722
0.128,0.073089,0.006785,-0.017096,9.9663,0,14.722
0.129,0.073771,0.0067755,-0.017229,9.9666,0,14.722
0.13,0.074391,0.0067557,-0.017361,9.9668,0,14.722
0.131,0.07494,0.0067266,-0.017494,9.9669,0,14.722
0.132,0.075411,0.0066891,-0.017627,9.9671,0,14.722
0.133,0.0758,0.0066444,-0.01776,9.9672,0,14.722
0.134,0.076103,0.0065937,-0.017893,9.9673,0,14.722
0.135,0.076319,0.0065383,-0.018026,9.9673,0,14.722
0.136,0.076448,0.0064793,-0.018159,9.9674,0,14.722
0.137,0.076493,0.0064182,-0.018292,9.9674,0,14.722
0.138,0.076456,0.0063562,-0.018425,9.9675,0,14.722
0.139,0.076344,0.0062943,-0.018558,9.9675,0,14.722
0.14,0.07616,0.0062338,-0.018691,9.9676,0,14.722
0.141,0.075913,0.0061757,-0.018825,9.9677,0,14.722
0.142,0.075611,0.0061209,-0.018958,9.9677,0,14.722
0.143,0.07526,0.0060703,-0.019091,9.9678,0,14.722
0.144,0.074871,0.0060245,-0.019225,9.9679,0,14.722
0.145,0.074453,0.0059841,-0.019358,9.9681,0,14.722
0.146,0.074014,0.0059496,-0.019492,9.9682,0,14.722
0.147,0.073564,0.0059212,-0.019626,9.9684,0,14.722
0.148,0.073111,0.0058992,-0.019759,9.9685,0,14.722
0.149,0.072665,0.0058836,-0.019893,9.9688,0,14.722
0.15,0.072232,0.0058744,-0.020027,9.969,0,14.722
0.151,0.07182,0.0058714,-0.02016,9.9692,0,14.722
0.152,0.071437,0.0058743,-0.020294,9.9695,0,14.722
0.153,0.071086,0.0058826,-0.020428,9.9698,0,14.722
0.154,0.070774,0.0058961,-0.020561,9.9701,0,14.722
0.155,0.070503,0.0059141,-0.020695,9.9704,0,14.722
0.156,0.070277,0.0059361,-0.020829,9.9707,0,14.722
0.157,0.070098,0.0059614,-0.020962,9.9711,0,14.722
0.158,0.069966,0.0059895,-0.021096,9.9714,0,14.722
0.159,0.069882,0.0060196,-0.02123,9.9718,0,14.722
0.16,0.069844,0.0060511,-0.021363,9.9721,0,14.722
0.161,0.069852,0.0060834,-0.021497,9.9725,0,14.722
0.162,0.069902,0.0061157,-0.02163,9.9729,0,14.722
0.163,0.069992,0.0061476,-0.021764,9.9732,0,14.722
0.164,0.070118,0.0061784,-0.021897,9.9736,0,14.722
0.165,0.070276,0.0062077,-0.022031,9.9739,0,14.722
0.166,0.070461,0.006235,-0.022164,9.9743,0,14.722
0.167,0.070669,0.0062599,-0.022297,9.9746,0,14.722
0.168,0.070894,0.0062821,-0.022431,9.975,0,14.722
