Time,a_x,s_x,s_x_int,omega,T_corrected,T_request
0,-0.0047851,0,0,9.9206,0,23.924
0.001,-0.0050774,-0.0009261,-0.00013889,9.9173,0,23.924
0.002,-0.0059078,-0.0017548,-0.00027866,9.9143,0,23.924
0.003,-0.0072069,-0.0024811,-0.00041921,9.9117,0,23.924
0.004,-0.0089064,-0.003101,-0.00056046,9.9095,0,23.924
0.005,-0.01094,-0.0036113,-0.00070229,9.9076,0,23.924
0.006,-0.013241,-0.0040096,-0.00084461,9.9061,0,23.924
0.007,-0.015748,-0.0042946,-0.0009873,9.9051,0,23.924
0.008,-0.018401,-0.0044653,-0.0011303,9.9044,0,23.924
0.009,-0.02114,-0.0045219,-0.0012734,9.9041,0,23.924
0.01,-0.023911,-0.0044649,-0.0014166,9.9043,0,23.924
0.011,-0.026662,-0.0042958,-0.0015597,9.9048,0,23.924
0.012,-0.029343,-0.0040165,-0.0017027,9.9057,0,23.924
0.013,-0.031908,-0.0036295,-0.0018454,9.9069,0,23.924
0.014,-0.034316,-0.0031379,-0.0019877,9.9086,0,23.924
0.015,-0.036526,-0.0025453,-0.0021295,9.9106,0,23.924
0.016,-0.038502,-0.0018554,-0.0022708,9.9129,0,23.924
0.017,-0.040213,-0.0010728,-0.0024115,9.9156,0,23.924
0.018,-0.041628,-0.00020205,-0.0025514,9.9185,0,23.924
0.019,-0.042723,0.00075185,-0.0026904,9.9218,0,23.924
0.02,-0.043476,0.0017837,-0.0028286,9.9253,0,23.924
0.021,-0.043867,0.002888,-0.0029657,9.9291,0,23.924
0.022,-0.043881,0.0040594,-0.0031019,9.9331,0,23.924
0.023,-0.043507,0.005292,-0.0032369,9.9374,0,23.924
0.024,-0.042736,0.0065802,-0.0033707,9.9418,0,23.924
0.025,-0.041563,0.0079182,-0.0035033,9.9464,0,23.924
0.026,-0.039984,0.0093003,-0.0036346,9.9512,0,23.924
0.027,-0.038001,0.010721,-0.0037647,9.9562,0,23.924
0.028,-0.035618,0.012174,-0.0038933,9.9612,0,23.924
0.029,-0.032838,0.013655,-0.0040206,9.9664,0,23.924
0.03,-0.029672,0.015157,-0.0041465,9.9716,0,23.924
0.031,-0.02613,0.016677,-0.0042709,9.977,0,23.924
0.032,-0.022224,0.018209,-0.0043939,9.9824,0,23.924
0.033,-0.017969,0.019748,-0.0045155,9.9878,0,23.924
0.034,-0.01338,0.02129,-0.0046356,9.9932,0,23.924
0.035,-0.0084759,0.022831,-0.0047542,9.9987,0,23.924
0.036,-0.0032743,0.024367,-0.0048713,10.004,0,23.924
0.037,0.0022051,0.025894,-0.004987,10.01,0,23.924
0.038,0.0079423,0.02741,-0.0051013,10.015,0,23.924
0.039,0.013917,0.028912,-0.0052141,10.02,0,23.924
0.04,0.020107,0.030396,-0.0053254,10.026,0,23.924
0.041,0.026493,0.03186,-0.0054354,10.031,0,23.924
0.042,0.033053,0.033303,-0.005544,10.036,0,23.924
0.043,0.039767,0.034723,-0.0056512,10.042,0,23.924
0.044,0.046614,0.036119,-0.005757,10.047,0,23.924
0.045,0.053575,0.037489,-0.0058616,10.052,0,23.924
0.046,0.06063,0.038832,-0.0059648,10.057,0,23.924
0.047,0.067762,0.040149,-0.0060668,10.062,0,23.924
0.048,0.074952,0.041438,-0.0061675,10.067,0,23.924
0.049,0.082184,0.0427,-0.006267,10.071,0,23.924
0.05,0.089441,0.043935,-0.0063653,10.076,0,23.924
0.051,0.096711,0.045143,-0.0064624,10.081,0,23.924
0.052,0.10398,0.046324,-0.0065584,10.085,0,23.924
0.053,0.11123,0.047478,-0.0066533,10.09,0,23.924
0.054,0.11844,0.04855,-0.006747,10.094,0,23.924
0.055,0.12559,0.04951,-0.0068398,10.098,0,23.924
0.056,0.13264,0.050358,-0.0069317,10.101,0,23.924
0.057,0.13956,0.051097,-0.0070227,10.105,0,23.924
0.058,0.14632,0.051728,-0.0071131,10.107,0,23.924
0.059,0.1529,0.052256,-0.0072029,10.11,0,23.924
0.06,0.15928,0.052682,-0.0072922,10.112,0,23.924
0.061,0.16544,0.053011,-0.007381,10.114,0,23.924
0.062,0.17136,0.053246,-0.0074696,10.115,0,23.924
0.063,0.17703,0.053391,-0.007558,10.116,0,23.924
0.064,0.18244,0.05345,-0.0076462,10.117,0,23.924
0.065,0.18757,0.053427,-0.0077344,10.118,0,23.924
0.066,0.19242,0.053328,-0.0078226,10.118,0,23.924
0.067,0.19698,0.053155,-0.0079109,10.118,0,23.924
0.068,0.20124,0.052915,-0.0079994,10.118,0,23.924
0.069,0.20521,0.05261,-0.0080882,10.117,0,23.924
0.07,0.20887,0.052247,-0.0081772,10.117,0,23.924
0.071,0.21223,0.05183,-0.0082666,10.116,0,23.924
0.072,0.21529,0.051364,-0.0083564,10.115,0,23.924
0.073,0.21805,0.050852,-0.0084466,10.114,0,23.924
0.074,0.22051,0.050301,-0.0085374,10.113,0,23.924
0.075,0.22267,0.049714,-0.0086287,10.112,0,23.924
0.076,0.22454,0.049096,-0.0087205,10.11,0,23.924
0.077,0.22612,0.048452,-0.008813,10.109,0,23.924
0.078,0.22742,0.047785,-0.008906,10.107,0,23.924
0.079,0.22844,0.047101,-0.0089998,10.106,0,23.924
0.08,0.22921,0.046402,-0.0090941,10.104,0,23.924
0.081,0.22971,0.045694,-0.0091892,10.102,0,23.924
0.082,0.22997,0.044981,-0.0092849,10.101,0,23.924
0.083,0.22998,0.044265,-0.0093814,10.099,0,23.924
0.084,0.22978,0.04355,-0.0094785,10.097,0,23.924
0.085,0.22935,0.04284,-0.0095763,10.095,0,23.924
0.086,0.22872,0.042139,-0.0096748,10.094,0,23.924
0.087,0.22791,0.041448,-0.0097739,10.092,0,23.924
0.088,0.22691,0.040772,-0.0098738,10.09,0,23.924
0.089,0.22575,0.040112,-0.0099743,10.089,0,23.924
0.09,0.22443,0.039471,-0.010075,10.087,0,23.924
0.091,0.22298,0.038851,-0.010177,10.086,0,23.924
0.092,0.2214,0.038255,-0.01028,10.085,0,23.924
0.093,0.21972,0.037683,-0.010382,10.083,0,23.924
0.094,0.21794,0.037139,-0.010486,10.082,0,23.924
0.095,0.21607,0.036622,-0.01059,10.081,0,23.924
0.096,0.21414,0.036135,-0.010694,10.08,0,23.924
0.097,0.21215,0.035679,-0.010799,10.079,0,23.924
0.098,0.21012,0.035253,-0.010905,10.078,0,23.924
0.099,0.20806,0.034859,-0.011011,10.078,0,23.924
0.1,0.20598,0.034497,-0.011117,10.077,0,23.924
0.101,0.2039,0.034168,-0.011224,10.077,0,23.924
0.102,0.20182,0.033871,-0.01133,10.077,0,23.924
0.103,0.19976,0.033606,-0.011438,10.076,0,23.924
0.104,0.19773,0.033373,-0.011545,10.076,0,23.924
0.105,0.19574,0.033171,-0.011653,10.076,0,23.924
0.106,0.19379,0.033,-0.011761,10.076,0,23.924
0.107,0.1919,0.03286,-0.011869,10.076,0,23.924
0.108,0.19007,0.032749,-0.011977,10.077,0,23.924
0.109,0.18831,0.032666,-0.012085,10.077,0,23.924
0.11,0.18663,0.03261,-0.012194,10.078,0,23.924
0.111,0.18502,0.03258,-0.012302,10.078,0,23.924
0.112,0.18351,0.032575,-0.012411,10.079,0,23.924
0.113,0.18208,0.032594,-0.012519,10.079,0,23.924
0.114,0.18074,0.032635,-0.012628,10.08,0,23.924
0.115,0.1795,0.032697,-0.012736,10.081,0,23.924
0.116,0.17836,0.032778,-0.012845,10.082,0,23.924
0.117,0.17732,0.032878,-0.012953,10.083,0,23.924
0.118,0.17637,0.032993,-0.013061,10.084,0,23.924
0.119,0.17553,0.033124,-0.01317,10.085,0,23.924
0.12,0.17478,0.033267,-0.013278,10.086,0,23.924
0.121,0.17413,0.033423,-0.013386,10.087,0,23.924
0.122,0.17358,0.033589,-0.013493,10.089,0,23.924
0.123,0.17312,0.033765,-0.013601,10.09,0,23.924
0.124,0.17275,0.033948,-0.013708,10.091,0,23.924
0.125,0.17247,0.034137,-0.013816,10.093,0,23.924
0.126,0.17228,0.034331,-0.013923,10.094,0,23.924
0.127,0.17217,0.034528,-0.01403,10.095,0,23.924
0.128,0.17213,0.034728,-0.014137,10.096,0,23.924
0.129,0.17217,0.03493,-0.014243,10.098,0,23.924
0.13,0.17228,0.035131,-0.01435,10.099,0,23.924
0.131,0.17245,0.035331,-0.014456,10.1,0,23.924
0.132,0.17269,0.035529,-0.014562,10.102,0,23.924
0.133,0.17298,0.035725,-0.014668,10.103,0,23.924
0.134,0.17333,0.035916,-0.014774,10.104,0,23.924
0.135,0.17372,0.036103,-0.014879,10.106,0,23.924
0.136,0.17415,0.036285,-0.014985,10.107,0,23.924
0.137,0.17462,0.036461,-0.01509,10.108,0,23.924
0.138,0.17513,0.03663,-0.015195,10.109,0,23.924
0.139,0.17566,0.036792,-0.0153,10.111,0,23.924
0.14,0.17622,0.036947,-0.015405,10.112,0,23.924
0.141,0.17679,0.037094,-0.015509,10.113,0,23.924
0.142,0.17738,0.037233,-0.015614,10.114,0,23.924
0.143,0.17799,0.037363,-0.015718,10.115,0,23.924
0.144,0.1786,0.037484,-0.015822,10.116,0,23.924
0.145,0.17921,0.037597,-0.015926,10.117,0,23.924
0.146,0.17983,0.0377,-0.016031,10.118,0,23.924
0.147,0.18044,0.037795,-0.016134,10.119,0,23.924
0.148,0.18105,0.037881,-0.016238,10.12,0,23.924
0.149,0.18165,0.037957,-0.016342,10.121,0,23.924
0.15,0.18224,0.038025,-0.016446,10.122,0,23.924
0.151,0.18281,0.038084,-0.01655,10.123,0,23.924
0.152,0.18336,0.038135,-0.016653,10.124,0,23.924
0.153,0.1839,0.038178,-0.016757,10.125,0,23.924
0.154,0.18442,0.038212,-0.01686,10.125,0,23.924
0.155,0.18491,0.038238,-0.016964,10.126,0,23.924
0.156,0.18538,0.038258,-0.017067,10.127,0,23.924
0.157,0.18583,0.03827,-0.017171,10.128,0,23.924
0.158,0.18625,0.038275,-0.017274,10.128,0,23.924
0.159,0.18665,0.038273,-0.017378,10.129,0,23.924
0.16,0.18701,0.038266,-0.017482,10.13,0,23.924
0.161,0.18735,0.038253,-0.017585,10.13,0,23.924
0.162,0.18766,0.038234,-0.017689,10.131,0,23.924
0.163,0.18794,0.038211,-0.017792,10.131,0,23.924
0.164,0.18819,0.038183,-0.017896,10.132,0,23.924
0.165,0.18842,0.038151,-0.018,10.132,0,23.924
0.166,0.18862,0.038115,-0.018103,10.133,0,23.924
0.167,0.18878,0.038076,-0.018207,10.134,0,23.924
0.168,0.18893,0.038034,-0.018311,10.134,0,23.924
0.169,0.18904,0.037989,-0.018415,10.135,0,23.924
0.17,0.18913,0.037942,-0.018519,10.135,0,23.924
0.171,0.1892,0.037894,-0.018622,10.136,0,23.924
0.172,0.18924,0.037844,-0.018726,10.136,0,23.924
0.173,0.18926,0.037793,-0.018831,10.137,0,23.924
0.174,0.18925,0.037741,-0.018935,10.137,0,23.924
0.175,0.18923,0.037689,-0.019039,10.138,0,23.924
0.176,0.18918,0.037637,-0.019143,10.138,0,23.924
0.177,0.18912,0.037585,-0.019247,10.139,0,23.924
